date,revenue,orders
6/3/2026,12761.79,246
6/3/2026,9400.04,214
6/3/2026,13876.13,145
6/6/2026,14351.41,254
6/7/2026,7122.41,153
6/8/2026,8744.55,138
6/9/2026,12319.6,242
6/10/2026,11209.39,146
6/11/2026,11958,93
6/12/2026,9867.39,164
6/17/2026,13168.77,203
6/18/2026,9851.77,165
6/19/2026,12921.88,139
6/20/2026,9602.79,120
6/21/2026,14196.13,181
6/22/2026,11875.19,200
6/23/2026,11537.84,249
6/24/2026,10297.68,158
6/25/2026,15056.35,108
6/29/2026,13330.77,97
6/30/2026,12913.61,136
7/1/2026,13031.83,218
7/2/2026,13077.05,229
