date,revenue,orders
2026-06-03,12761.79,246
2026-06-04,9400.04,214
2026-06-05,13876.13,145
2026-06-06,14351.41,254
2026-06-07,7122.41,153
2026-06-08,8744.55,138
2026-06-09,12319.6,242
2026-06-10,11209.39,146
2026-06-11,11958.0,93
2026-06-12,9867.39,164
2026-06-13,14198.49,223
2026-06-14,13944.48,114
2026-06-15,12165.08,163
2026-06-16,14818.1,103
2026-06-17,13168.77,203
2026-06-18,9851.77,165
2026-06-19,12921.88,139
2026-06-20,9602.79,120
2026-06-21,14196.13,181
2026-06-22,11875.19,200
2026-06-23,11537.84,249
2026-06-24,10297.68,158
2026-06-25,15056.35,108
2026-06-26,11613.68,229
2026-06-27,10929.18,193
2026-06-28,11119.67,206
2026-06-29,13330.77,97
2026-06-30,12913.61,136
2026-07-01,13031.83,218
2026-07-02,13077.05,229
